Relative Humidity,Temperature 
73,21.277971
76,20.587973
76,20.637972
74,20.667973
73,20.477972
72,20.307972
75,20.207972
68,22.727972
56,25.457972
44,27.907972
36,30.147972
30,31.967972
26,33.22797
25,33.96797
30,33.327972
46,30.787971
51,29.047972
46,29.147972
53,25.697971
66,24.737972
70,24.497972
74,23.687971
77,23.327972
72,23.637972
71,23.207972
71,22.637972
71,22.057972
69,21.467972
69,21.237972
73,21.027971
74,20.607971
66,23.097973
59,25.407972
49,27.747972
43,29.677973
38,31.017971
36,32.21797
34,32.69797
39,31.707972
48,29.817972
51,29.017971
55,27.777971
68,24.557972
77,22.787971
82,22.147972
84,21.967972
85,21.917973
83,22.027971
83,21.957972
81,22.347973
79,22.597973
79,22.687971
80,22.587973
81,22.297972
86,20.837973
79,22.597973
69,24.357971
59,26.487972
49,28.867971
45,30.167973
41,31.027971
42,30.847973
46,30.177973
50,29.347973
54,28.467972
60,27.127972
72,24.477972
86,21.967972
89,22.007973
87,22.487972
89,22.197971
87,22.237972
85,22.397972
86,22.147972
84,22.387972
83,22.577972
82,22.777971
87,20.917973
91,19.997972
75,22.717972
63,24.917973
54,26.907972
49,28.797972
42,30.487972
39,31.437971
45,29.687971
51,29.137972
53,28.447971
54,28.327972
56,27.107971
64,24.177973
69,22.597973
71,22.017971
65,22.077972
51,22.307972
42,23.327972
40,23.647972
42,22.947971
47,22.187971
53,21.497972
53,22.477972
59,21.747972
63,21.157972
56,23.217972
53,25.297972
46,27.507973
41,29.447971
38,30.897972
37,31.847973
41,31.397972
47,29.987972
49,29.517971
52,28.627972
56,27.147972
67,24.017971
72,22.447971
76,21.817972
74,21.447971
69,21.227972
63,21.287971
62,21.297972
61,21.427973
57,22.677973
57,22.267971
59,21.927973
61,21.707972
64,21.507973
55,24.487972
46,26.997972
38,29.297972
33,31.307972
31,32.887974
29,34.19797
28,34.58797
32,32.96797
37,31.337973
40,30.217972
47,28.467972
59,25.337973
65,23.927973
64,23.827972
61,24.307972
57,24.847973
57,24.937971
58,24.637972
63,24.207972
64,23.887972
71,22.717972
74,22.497972
77,22.427973
79,22.267971
67,24.857971
55,27.477972
48,28.367971
43,30.147972
41,30.527971
42,29.977972
37,32.10797
36,32.457973
39,30.747972
39,31.227972
42,29.847973
45,28.837973
51,26.077972
53,23.547972
65,22.407972
68,22.257973
67,22.077972
66,21.787971
67,21.377972
68,21.267971
71,20.757973
75,20.007973
76,19.647972
76,19.317972
60,23.247972
50,26.087973
41,29.037971
33,31.447971
29,33.01797
27,33.847973
26,34.44797
28,32.797974
30,32.62797
33,31.917973
33,31.067972
42,27.127972
55,23.777971
57,23.267971
60,22.277971
63,21.567972
64,21.287971
